id,Street,Housenumber,Box,Floor,City,Postalcode,Property type,Region,District,Subtype,Price,Type of sale,Construction year,Bedroom Count,Habitable surface,Kitchen type,Furnished,Fireplace,Terrace,Garden,Garden surface,Facades,SwimmingPool,Condition,EPC score,Latitude,Longitude
10606305,Steenweg,187,0,0.0,Nazareth,9810,0,FLANDERS,Gent,HOUSE,395000.0,residential_sale,1932.0,4.0,228.0,SEMI_EQUIPPED,0,True,0,True,1050.0,3.0,0,TO_RENOVATE,C,50.962843,3.6466553
10582120,Steenbergstraat,32,0,0.0,Affligem,1790,LANDSCAPE,FLANDERS,Halle-Vilvoorde,HOUSE,398000.0,residential_sale,1936.0,4.0,195.0,USA_HYPER_EQUIPPED,0,False,True,True,654.0,3.0,False,AS_NEW,E,50.8908726,4.1024663
10429397,Elsaute,44,0,0.0,CLERMONT,4890,0,WALLONIE,Verviers,HOUSE,398000.0,residential_sale,1990.0,4.0,230.0,INSTALLED,0,True,0,True,1100.0,4.0,0,GOOD,D,50.6456451,5.8921534
10486201,Hoveniersstraat,62,0,0.0,Aalst,9300,URBAN,FLANDERS,Aalst,MIXED_USE_BUILDING,398000.0,residential_sale,1961.0,3.0,480.0,USA_INSTALLED,0,False,True,True,362.0,2.0,False,GOOD,F,50.9430323,4.0458757
10504722,Isidoor van Beverenstraat,55,0,0.0,Groot-Bijgaarden,1702,FITTED_OUT,FLANDERS,Halle-Vilvoorde,HOUSE,399000.0,residential_sale,1958.0,4.0,185.0,0,0,True,0,True,1300.0,3.0,0,TO_RENOVATE,D,50.8780941,4.2639401
10581299,Chaussée de Drogenbos,190,0,0.0,Uccle,1180,URBAN,BRUSSELS,Brussels,HOUSE,399000.0,residential_sale,2008.0,2.0,107.0,HYPER_EQUIPPED,False,False,True,0,0.0,2.0,0,AS_NEW,D,50.7860437,4.3223639
10486453,Gladiolenlaan,24,0,0.0,REET,2840,0,FLANDERS,Antwerp,HOUSE,399000.0,residential_sale,1960.0,4.0,175.0,SEMI_EQUIPPED,0,True,0,True,778.0,3.0,0,TO_BE_DONE_UP,F,51.1061076,4.3919482
10673825,Rue Gustave-Docq,6,0,0.0,Gembloux,5030,0,WALLONIE,Namur,DUPLEX,170000.0,residential_sale,0.0,2.0,66.0,INSTALLED,0,True,0,0,0.0,2.0,0,TO_BE_DONE_UP,D,50.5592087,4.6933132
9854044,Rue Porte Haute,16-18,0,0.0,Marche-en-Famenne,6900,0,WALLONIE,Marche-en-Famenne,APARTMENT_BLOCK,399000.0,residential_sale,0.0,4.0,325.0,SEMI_EQUIPPED,0,True,True,0,310.0,2.0,0,TO_RENOVATE,D,50.2260617,5.3450611
10555933,Winkel,77,0,0.0,Wemmel,1780,0,FLANDERS,Halle-Vilvoorde,HOUSE,399000.0,residential_sale,1967.0,3.0,132.0,SEMI_EQUIPPED,0,True,0,True,175.0,2.0,0,GOOD,E,50.907302,4.3126916
10648690,Vierweegse,25,0,0.0,Adegem,9991,0,FLANDERS,Eeklo,HOUSE,399000.0,residential_sale,1962.0,4.0,206.0,SEMI_EQUIPPED,0,True,True,0,5239.0,4.0,0,TO_RENOVATE,F,51.1658725,3.5137698
10631625,Sentier de la Meunerie,47,0,0.0,Hannut Moxhe,4280,COUNTRY,WALLONIE,Waremme,HOUSE,400000.0,residential_sale,0.0,3.0,215.0,0,False,False,True,True,2406.0,3.0,True,GOOD,D,50.6286023,5.0658902
10603637,Rue du Coq,8,0,0.0,Amay,4540,0,WALLONIE,Huy,HOUSE,375000.0,residential_sale,0.0,5.0,250.0,SEMI_EQUIPPED,0,True,True,True,1705.0,3.0,0,GOOD,C,50.5501624,5.3080782
10643950,Liersesteenweg,203,0,0.0,SINT-KATELIJNE-WAVER,2860,RESIDENTIAL,FLANDERS,Mechelen,HOUSE,400000.0,residential_sale,1973.0,3.0,178.0,INSTALLED,0,True,True,True,928.0,4.0,0,TO_BE_DONE_UP,E,51.0620968,4.4799432
10616644,Molenbergstraat,31,0,0.0,Diest,3290,RESIDENTIAL,FLANDERS,Leuven,HOUSE,399000.0,residential_sale,1975.0,4.0,231.0,INSTALLED,0,True,True,True,642.0,3.0,0,GOOD,D,50.974169,5.062294
10329206,Kalvarieberg,1,0,0.0,Roosdaal,1760,COUNTRY,FLANDERS,Halle-Vilvoorde,VILLA,398500.0,residential_sale,1977.0,5.0,215.0,HYPER_EQUIPPED,False,False,True,0,769.0,4.0,False,TO_BE_DONE_UP,D,50.8415904,4.0856998
10623234,Strijdersstraat,39,0,0.0,Tienen,3300,0,FLANDERS,Leuven,HOUSE,410000.0,residential_sale,1938.0,4.0,180.0,INSTALLED,0,True,True,0,0.0,2.0,0,GOOD,C,50.8112516,4.938428
10585352,Avenue Odon Warland,237,0,0.0,Jette,1090,URBAN,BRUSSELS,Brussels,HOUSE,415000.0,residential_sale,1927.0,4.0,180.0,INSTALLED,False,False,True,0,94.0,2.0,0,0,G,50.8724536,4.3395548
